Published,Date,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村,都外,調査中,小計
2020/03/31,2020/03/31,3,19,39,22,4,15,5,10,24,21,15,44,18,15,28,9,4,2,4,20,8,6,8,4,0,3,7,1,1,0,1,6,1,1,3,0,0,0,0,0,1,0,1,0,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,116,521
2020/04/01,2020/04/01,3,19,40,30,4,19,5,12,24,23,16,54,21,18,30,10,7,2,6,21,10,14,8,4,0,4,7,1,1,0,1,10,2,2,4,0,0,0,0,0,1,0,1,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20,118,587
2020/04/02,2020/04/02,4,19,50,36,4,23,7,12,29,29,18,67,24,19,34,13,7,3,9,25,11,14,11,4,0,4,7,1,1,0,1,10,2,2,4,0,0,0,0,0,1,0,1,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,141,684
2020/04/03,2020/04/03,4,20,58,38,6,25,10,13,30,34,19,79,26,24,37,14,7,3,13,34,12,16,11,5,0,4,7,1,1,1,1,10,2,3,4,0,0,0,0,3,1,0,2,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,158,773
2020/04/04,2020/04/04,5,21,67,39,7,27,11,14,38,40,28,93,32,29,44,17,9,5,15,39,20,18,13,6,0,4,8,1,1,1,3,11,2,3,6,1,0,0,0,3,1,1,2,1,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,27,162,890
2020/04/05,2020/04/05,6,25,83,60,8,29,11,22,41,42,37,104,37,33,56,20,10,6,20,42,22,19,15,9,2,4,8,1,1,2,4,14,3,3,6,1,0,0,0,3,1,1,2,1,0,3,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,170,1033
2020/04/06,2020/04/06,7,28,87,72,8,31,11,22,41,44,44,113,39,41,60,20,10,7,23,46,25,26,16,9,2,5,8,1,1,2,4,16,3,3,8,1,0,0,0,3,2,1,2,1,0,3,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,36,170,1115
2020/04/07,2020/04/07,9,29,89,80,10,32,14,23,49,49,45,118,41,43,67,27,11,7,24,48,27,29,16,10,3,5,9,1,1,3,5,16,4,3,8,1,0,0,0,3,2,1,2,1,0,3,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,174,1194
2020/04/08,2020/04/08,9,31,107,84,12,35,14,26,56,51,51,124,49,46,76,31,13,7,30,48,28,29,18,11,3,5,12,1,5,3,6,20,5,5,8,1,2,0,0,5,3,1,2,1,0,3,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,42,203,1338
2020/04/09,2020/04/09,9,31,126,99,16,40,21,39,56,54,52,147,53,50,77,39,16,8,32,52,33,34,21,11,5,5,12,1,6,3,8,20,5,6,9,1,3,2,0,5,3,2,2,1,0,3,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,46,236,1516
2020/04/10,2020/04/10,10,33,143,133,20,42,24,44,70,56,58,173,64,53,85,45,17,10,37,54,35,35,25,13,5,6,12,1,6,3,9,20,8,6,10,1,3,2,0,6,4,3,3,1,0,4,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,48,249,1705
2020/04/11,2020/04/11,10,35,155,139,22,46,25,51,84,58,65,191,69,62,92,49,19,11,38,60,44,44,39,15,8,7,13,2,10,3,12,21,8,6,11,1,3,2,0,7,4,3,3,1,5,4,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,50,278,1902
2020/04/12,2020/04/12,11,36,158,164,23,47,26,51,90,63,66,195,71,66,92,49,20,13,46,59,45,44,43,16,8,7,13,2,10,3,12,22,8,6,11,1,3,2,0,7,4,5,5,1,5,4,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,365,2067
2020/04/13,2020/04/13,12,39,163,177,23,47,28,52,94,72,67,205,72,67,97,49,23,13,47,60,46,44,43,19,8,7,14,2,14,3,13,23,8,6,12,3,3,3,0,7,4,6,6,1,7,5,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,58,367,2158
